ltar_roi_id,time_period,l8_and_s2_matches,scenes_available,planet_scene_id,l8_scene_id,s2_scene_id,notes
ucb-3,2020-09-20,9,TRUE,20200923_153938_14_106c,LC08_L2SP_016034_20200922_02_T1,S2B_MSIL2A_20200915T155819_R097_T17SPC_20200918T092949,
umrb-1,2020-05-20,0,FALSE,,,,
umrb-1,2020-07-20,0,FALSE,,,,
umrb-1,2020-09-20,13,TRUE,20200917_165649_00_105c,,S2B_MSIL2A_20200913T165849_R069_T15TWG_20200918T153809,
umrb-2,2020-05-20,0,FALSE,,,,
umrb-2,2020-07-20,3,TRUE,20200716_171203_58_1057,,S2B_MSIL2A_20200718T170849_R112_T15TVJ_20200816T162506,
umrb-2,2020-09-20,15,TRUE,20200921_171729_84_1058,,S2A_MSIL2A_20200918T165951_R069_T15TWJ_20200921T084227,
umrb-3,2020-05-20,3,TRUE,20200514_165001_71_106c,LC08_L2SP_029029_20200528_02_T1,S2A_MSIL2A_20200527T171901_R012_T14TQQ_20200911T035600,
umrb-3,2020-07-20,21,TRUE,20200718_164445_64_106c,LC08_L2SP_028029_20200724_02_T1,S2B_MSIL2A_20200728T170849_R112_T14TQQ_20200817T225422,
umrb-3,2020-09-20,15,TRUE,20200923_164108_09_106a,,S2A_MSIL2A_20200914T171941_R012_T14TQQ_20200917T132306,
wgew-1,2020-05-20,30,TRUE,20200519_180820_09_1062,LC08_L2SP_037036_20200520_02_T1,S2A_MSIL2A_20200512T180921_R084_T12SUD_20200917T215846,
wgew-1,2020-07-20,18,TRUE,20200715_182728_17_1061,LC08_L2SP_038036_20200714_02_T1,S2B_MSIL2A_20200716T180919_R084_T12STD_20200816T100640,
wgew-1,2020-09-20,29,TRUE,20200923_182941_04_105e,LC08_L2SP_038036_20200916_02_T1,S2B_MSIL2A_20200924T181009_R084_T12SUD_20200926T122333,
wgew-2,2020-05-20,30,TRUE,20200523_180655_83_1061,LC08_L2SP_035038_20200522_02_T1,S2B_MSIL2A_20200524T175909_R041_T12SWA_20200910T204510,
wgew-2,2020-07-20,3,FALSE,,,,"some planet + s2 scenes available, but only over a bunch of pivots"
wgew-2,2020-09-20,30,TRUE,20200916_174830_78_106a,LC08_L2SP_035038_20200927_02_T1,S2A_MSIL2A_20200926T180121_R041_T12SWA_20200927T193009,
wgew-3,2020-05-20,30,TRUE,20200520_181100_14_105d,LC08_L2SP_036037_20200513_02_T1,S2B_MSIL2A_20200524T175909_R041_T12SWB_20200910T204510,
wgew-3,2020-07-20,,FALSE,,,,
wgew-3,2020-09-20,30,TRUE,20200916_174847_17_106a,LC08_L2SP_035037_20200927_02_T1,S2A_MSIL2A_20200926T180121_R041_T12SWB_20200927T193349,
